"term","estimate","std.error","statistic","p.value"
"(Intercept)",-995.793141045324,1740.54501078041,-0.57211570794072,0.567293939687731
"hhi_index",-202.079096814318,1491.94316712472,-0.135446913305529,0.892269208179785
"rgdpe",0.00300103212319613,9.97413794726234e-05,30.0881353262197,1.66986571767472e-170
"hc",-966.475896744582,340.371458628284,-2.83947396952592,0.0045545431439767
"labsh",984.530786199079,1912.6645705955,0.51474304555793,0.606777130751524
"delta",48796.5176176246,21176.6869602111,2.30425645471873,0.0212881388418365
