"term","estimate","std.error","statistic","p.value"
"(Intercept)",-509.124892030677,532.261927671215,-0.956530733389539,0.338894695483526
"hhi_index",-80.94909848792,456.239017773891,-0.177426952396338,0.859187107817338
"rgdpe",0.00086755643819068,3.0501100849372e-05,28.4434467619729,7.81833650132186e-155
"hc",-180.868742197662,104.086230216203,-1.73768174543328,0.0823874445387512
"labsh",337.362601515359,584.896411772275,0.576790342230222,0.564131926199295
"delta",13215.6791649471,6475.87057692809,2.0407571473141,0.0413775942475796
